,airline_sentiment,sentiment_confidence,text,char_length,word_count
0,neutral,1.0, what  said,35,4
1,positive,0.3486, plus youve added commercials to the experience tacky,72,9
2,neutral,0.6837, i didnt today must mean i need to take another trip!,71,12
3,negative,1.0, its really aggressive to blast obnoxious entertainment in your guests faces  they have little recourse,126,17
4,negative,1.0, and its a really big bad thing about it,55,10
5,negative,1.0, seriously would pay  a flight for seats that didnt have this playingits really the only bad thing about flying va,136,23
6,positive,0.6745, yes nearly every time i fly vx this ear worm wont go away ,79,15
7,neutral,0.634, really missed a prime opportunity for men without hats parody there ,108,13
8,positive,0.6559, well i didntbut now i do! d,47,8
9,positive,1.0, it was amazing and arrived an hour early youre too good to me,80,14
10,neutral,0.6769, did you know that suicide is the second leading cause of death among teens ,95,16
11,positive,1.0, i  pretty graphics so much better than minimal iconography d,83,12
12,positive,1.0, this is such a great deal! already thinking about my nd trip to   i havent even gone on my st trip yet! p,139,26
13,positive,0.6451,  im flying your #fabulous #seductive skies again! u take all the #stress away from travel ,140,18
14,positive,1.0, thanks!,22,2
15,negative,0.6842, sfopdx schedule is still mia,45,6
16,positive,1.0, so excited for my first cross country flight lax to mco ive heard nothing but great things about virgin america #daystogo,140,22
17,negative,1.0,  i flew from nyc to sfo last week and couldnt fully sit in my seat due to two large gentleman on either side of me help!,137,27
18,positive,1.0, you know what would be amazingly awesome? bosfll please!!!!!!! i want to fly with only you,107,17
19,negative,0.6705, why are your first fares in may over three times more than other carriers when all seats are available to select???,130,22
20,positive,1.0, i love this graphic ,58,6
21,positive,1.0, i love the hipster innovation you are a feel good brand,72,12
22,neutral,1.0, will you be making boslas non stop permanently anytime soon?,79,11
23,negative,1.0, you guys messed up my seating i reserved seating with my friends and you guys gave my seat away   i want free internet,139,26
24,negative,1.0, status match program  i applied and its been three weeks  called and emailed with no response,112,17
25,negative,1.0, what happened  ur vegan food options?! at least say on ur site so i know i wont be able  eat anything for next  hrs #fail,140,29
26,neutral,0.6854, do you miss me? dont worry well be together very soon,71,12
27,negative,1.0, amazing to me that we cant get any cold air from the vents #vx #noair #worstflightever #roasted #sfotobos,125,19
28,neutral,0.615, lax to ewr  middle seat on a red eye such a noob maneuver #sendambien #andchexmix,99,17
29,negative,1.0, hi! i just bked a cool birthday trip with you but i cant add my elevate no cause i entered my middle name during flight booking problems ,156,29
30,neutral,1.0, are the hours of operation for the club at sfo that are posted online current?,93,16
31,negative,1.0, help left expensive headphones on flight  iad to lax today seat a no one answering lf number at lax!,126,21
32,negative,1.0, awaiting my return phone call just would prefer to use your online selfservice option ,105,16
33,positive,1.0, this is great news!  america could start flights to hawaii by end of year  via ,131,18
34,neutral,0.6207,nice rt  vibe with the moodlight from takeoff to touchdown #moodlitmonday #sciencebehindtheexperience ,140,14
35,positive,1.0, moodlighting is the only way to fly! best experience ever! cool and calming  #moodlitmonday,109,16
36,positive,1.0,  done and done! best airline around hands down!,77,10
37,neutral,0.6791, when can i book my flight to hawaii??,52,9
38,negative,1.0, your chat support is not working on your site ,84,11
39,positive,0.6639, view of downtown los angeles the hollywood sign and beyond that rain in the mountains! ,126,17
40,negative,0.6688, hey first time flyer next week  excited! but im having a hard time getting my flights added to my elevate account help?,138,24
41,neutral,1.0, plz help me win my bid upgrade for my flight  laxsea!!!  ,88,14
42,neutral,0.6578, i have an unused ticket but moved to a new city where you dont fly how can i fly with you before it expires? #travelhelp,137,26
43,neutral,1.0, are flights leaving dallas for seattle on time feb ?,69,11
44,positive,1.0, im #elevategold for a good reason you rock!!,61,9
45,neutral,0.6799,  dream  ,67,4
46,positive,1.0, wow this just blew my mind,41,7
47,neutral,1.0,   after last night #tribute #soundofmusic #oscars ! i think  agree,135,14
48,neutral,0.6436,   all were entertaining,63,6
49,neutral,0.6764, is flight  on its way? was supposed to take off  minutes ago website still shows on time not in flight thanks,137,24
50,positive,0.657,   julie andrews all the way though  was very impressive! no to ,128,16
51,neutral,1.0, wish you flew out of atlanta soon?,52,8
52,neutral,0.7118,   julie andrews hands down,68,7
53,neutral,1.0, will flights be leaving dallas for la on february th?,70,11
54,negative,0.6939, hi! im so excited about your  lgadal deal but ive been trying  book since last week  the page never loads thx!,143,25
55,positive,1.0, you know it need it on my spotify stat #guiltypleasures,71,11
56,positive,0.635,    im lady gaga!!! she is amazing! ,77,10
57,neutral,0.7007,    carrie!,51,5
58,neutral,1.0, new marketing song?  let us know what you think?,86,11
59,neutral,1.0,   julie andrews first but lady gaga wowd me last night carrie? meh,109,15
60,negative,1.0, i called a  weeks ago about adding  flights from  to my elevatethey still havent shown uphelp!,124,20
61,neutral,0.6858,   all are great  but i have to go with #carrieunderwood ,99,15
62,neutral,1.0,   sorry mary martin had it first!,74,9
63,positive,1.0,    love all three but you really cant beat the classics!,97,13
64,neutral,0.6814, flight  dal to dca  pm tried to check in could not status please,94,16
65,negative,1.0, heyyyy guyyyys been trying to get through for an hour can someone call me please? ,102,17
66,negative,1.0, hi virgin! im on hold for  minutes  are there any earlier flights from la to nyc tonight earlier than pm?,135,23
67,positive,0.6922, congrats on winning the  award for best deals from an airline us ,114,15
68,negative,1.0, everything was fine until you lost my bag,56,9
69,neutral,1.0, need to change reservation have virgin credit card do i need to modify on phone to waive change fee? or can i do online?,137,25
70,neutral,0.6492, i emailed your customer service team let me know if you need the tracking number,97,16
71,neutral,1.0, hi i just booked a flight but need to add baggage how can i do this?,84,17
72,negative,1.0, your airline is awesome but your lax loft needs to step up its game  for dirty tables and floors? ,139,22
73,positive,1.0, not worried its been a great ride in a new plane with great crew all airlines should be like this,116,21
74,positive,1.0, awesome i flew yall sat morning any way we can correct my bill ?,81,15
75,neutral,1.0, or watch some of the best student films in the country at  feet! #cmfatfeet ,124,17
76,neutral,1.0, first time flying you all do you have a different ratepolicy for media bags? thanks,100,16
77,negative,1.0, what is going on with customer service? is there anyway to speak to a human asap? thank you,107,19
78,neutral,1.0, what happened to doom?!,38,5
79,negative,1.0, why cant you supp the biz traveler like   and have customer service like  #neverflyvirginforbusiness,137,17
80,positive,1.0, ive applied more then once to be a member of the #inflight crew teamim  interested #flightattendant #dreampath g,137,20
81,negative,0.6792, youre the best!! whenever i begrudgingly use any other airline im delayed and late flight ,111,17
82,negative,1.0, i have no interesting flying with you after this i will cancelled flight my next four flights i planned#neverflyvirginforbusiness,146,20
83,negative,1.0, it was a disappointing experience which will be shared with every business traveler i meet #neverflyvirgin,122,17
84,negative,1.0, im having trouble adding this flight my wife booked to my elevate account help? ,119,16
85,neutral,0.6705, cant bring up my reservation online using flight booking problems code,86,12
86,neutral,1.0, random q whats the distribution of elevate avatars? i bet that kitty has a disproportionate share ,137,18
87,neutral,0.6545, i  flying va but life happens and i am trying to #change my trip jperhi  can you helpva home page will not let me ?,136,27
88,negative,1.0, why is the site down?  when will it be back up?,62,12
89,neutral,1.0, you down with rnp? yeah you know me!,55,9
90,neutral,0.6639, hi i did not get points on my elevate account for my most recent flight how do i add the flight and points to my account?,138,27
91,negative,1.0, i like the tv and interesting video  just disappointed in cancelled flightled flight when other flights went out to jfk on saturday ,149,25
92,negative,1.0, just landed in lax an hour after i should of been here your no late flight bag check is not business travel friendly #nomorevirgin,147,25
93,neutral,0.6765, why is flight  redirected?,44,6
94,negative,1.0, is it me or is your website down?  btw your new website isnt a great user experience  time for another redesign,131,22
95,negative,1.0, i cant check in or add a bag your website isnt working ive tried both desktop and mobile ,131,20
96,negative,1.0,  let  scanned in passengers leave the plane than told someone to remove their bag from st class bin? #uncomfortable,133,22
97,negative,1.0, what is your phone number i cant find who to call about a flight reservation,94,16
98,negative,1.0, is anyone doing anything there today?  website is useless and no one is answering the phone,107,17
99,neutral,1.0, trying to add my boy prince to my ressie sf this thursday  from lax ,120,17
100,negative,1.0, why must a traveler miss a flight to late flight check a bag?  i missed my morning appointments and you lost my business #sfolax,145,25
101,neutral,1.0, check out new music ,57,6
102,negative,0.6925, hows a direct flight fllsfo have unexpected layover in vegas  fuel yet peeps next to me bought for vegas flight #sneaky,142,23
103,negative,1.0, your no late flight bag check just lost you my business i missed flight and am apt three other people on flight had same exp,142,26
104,positive,1.0,  amazing customer  service again!  raeann in sf  shes the best! #customerservice #virginamerica #flying,124,17
105,negative,1.0, called your service line and was hung up on this is awesome #sarcasm,85,14
106,negative,1.0, your site is tripping im trying to check in and im getting the plain text version i am reluctant to enter any card info,139,25
107,neutral,0.6593, i was scheduled for sfo  dal flight  today changed to th due weather looks like flight still on?,119,21
108,positive,0.6823, has getaway deals through may from  oneway lots of cool cities  #cheapflights #farecompare,133,16
109,neutral,1.0, has getaway deals through may from  oneway lots of cool cities  #cheapflights #farecompare,133,16
110,positive,0.6806, has getaway deals through may from  oneway lots of cool cities  #cheapflights #farecompare,133,16
111,neutral,0.6529, has getaway deals through may from  oneway lots of cool cities  #cheapflights #farecompare,133,16
112,positive,0.678, have a great week ,35,6
113,positive,0.3482, come back to #phl already we need you to take us out of this horrible cold #pleasecomeback ,130,19
114,negative,1.0, should i be concerned that i am about to fly on a plane that needs to be delayed due to a tech stop?,117,24
115,positive,1.0, is the best airline i have flown oneasy to change your reservationhelpful representatives  a comfortable flying experience,144,19
116,positive,1.0, and again! another rep kicked butt! naelah represents your team so beautifully!! thank you!!!,108,15
117,positive,1.0, your beautiful frontend design is down right now but it was cool to still book my ticket bc all your backend was secure,139,24
118,positive,1.0, love the team running gate e at las tonight waited for a delayed flight and they kept things entertaining,123,20
119,negative,0.6832, use another browser!   a brand with a reputation built on tech response doesnt have a crossbrowser compatible website?,144,21
120,negative,1.0, and now the flight flight booking problems site is totally down folks what is the problem?,107,17
121,negative,1.0, i like the customer service but a  min delay just for connecting passengers seems too long va,114,19
122,positive,1.0, thanks to your outstanding nycjfk crew who moved mountains to get me home to san francisco tonight!,115,18
123,positive,1.0, you have the absolute best team and customer service ever  every time i fly with you im delighted  thank you!,127,21
124,neutral,1.0, do you provide complimentary upgrades to first class if there are available seats?,98,14
125,negative,0.6703, i need to change my flight thats scheduled in  hours and  min wait time on phone im calling intern help!!,126,23
126,positive,1.0, completely awesome experience last month boslas nonstop thanks for such an awesome flight and depart time #vabeatsjblue,137,18
127,neutral,1.0, how can i watch the #oscars on my jfksfo flight?,72,11
128,neutral,0.6535, is flight  cancelled flightled and what do i do if it is?,75,14
129,negative,1.0, you are failing your customers because your check in process does not link to tsa precheck,107,17
130,negative,1.0,  us too! terrible airline! just gave us a hotel hotline number and said sorry,105,16
